עומר טייכר | מדריך וטכנאי מחשבים: (22:32) : דקה שיש ודקה אני מתחיל. 
עומר טייכר | מדריך וטכנאי מחשבים: (48:39) : מקום פנוי בדיסק זאת אומרת שאם יש לכם חצי טרה למשל 500 ג'יגה רצוי שיהיה בו לפחות 100 ג'יגה פנויו נכון לחלקכם זה נשמע מפחיד כי אתם תוכנים את האימא של הדיסק ואתם צורכים המון מקום אבל זה לא טוב ככל שיש פחות מקום ב SSD אני לא מדבר על HDD הוא עלול לקרוס ולהפסיק לעבוד ולפעמים אפילו בלתי אפשרי לשחזר אותו כי ברגע שהוא נהרס זה לא עובד כמו דיסק, הרי למשל בדיסקים ישנים HDD אפשר להוציא את הדיסק לתת אותו לחברת שחזור מיוחדת הם עושים את זה תחת אור מיוחד מוציאים את המידע לא ב-SSD זאת בעיה זה צ'יפים ברגע שהם נהרסים קשה מאוד להוציא מהם את המידע לכן אני מאוד ממליץ לשמור מקום גם אם זה לא 20% אז 15% בסדר אני מבטר לכם 
עומר טייכר | מדריך וטכנאי מחשבים: (49:41) : דבר שני הוא מאוד רגיש להפסקות חשמל זאת אומרת שאם יש לכם הרבה קפיצות מתח בבית 
עומר טייכר | מדריך וטכנאי מחשבים: (49:50) : או בשכונה יש סיכוי גדול שהדיסק שלכם בדרך להארס ואני רוצה לתת על זה עוד דגש הרבה זה בדיוק כמו הרבה פעמים כמו מחלות בגוף זה מטפטף לאט לאט עוד קפיצות חשמל הדיסק קצת נהרס עוד קצת הפסקות חשמל עוד קצת נהרס אתם לא תשימו לב לזה לזה שהוא לאט לאט נהרס פתאום יום אחד אתם תפתחו את המחשב לא עובד והזמן לקוחות מתקשרים ואומרים לי אבל אתמול זה עבד או לפני שעה המחשב עבד ועכשיו כבר לא למה כי הייתה הפסקת חשמל שהיא הייתה הסופית הרסה את המחשב 
עומר טייכר | מדריך וטכנאי מחשבים: (50:34) : הקונן הבא שאני רוצה לדבר עליו זה NVMe אני אדבר עליו בקצרה. דרך אגב לפני שאני עובר לNVMe מי שיש לו הרבה קצרי חשמל בבית 
עומר טייכר | מדריך וטכנאי מחשבים: (50:46) : יכול לקנות על פסק עשיתי על זה פוסט אני לא זוכר מתי על פסק יש על פסק של תדירן אני חושב תדירן הם מעולים פשוט מעולים ממליץ עליהם בחום תקנו אותם הם הופכים את המחשב להיות כמו מחשב נייד כזה 
עומר טייכר | מדריך וטכנאי מחשבים: (51:05) : הסוללה שלו מחזיקה הרבה זמן ממליץ על זה בחום לא לוותר על זה אתם לא רוצים להגיע למצב שהדיסק שלכם פתאום ייארס חבל, גם אם יש לכם גיבוי בענן ולרבה מקרים יש גיבוי בענן זה לא נעים שהדיסק נהרץ, אחרי זה צריכים תכף אני אסביר על זה ברגע שהדיסק 
עומר טייכר | מדריך וטכנאי מחשבים: (51:26) : נהרץ צריכים להתקין את כל התוכנות מחדש ואם יש לכם אדובי להתקין אותו מחדש בתוכנות העריכה מחדש, תוכנות גרפיות ושוב אופיס וזה לא רק עניין של זמן זה מלא כסף אתם תבזבזו המון כסף לטכנאי שיתקין לכם את כל התוכנות האלה מחדש וחבל זה המון כסף אז תשקיעו על על פסק אז רחל היא פה ביקשה שאלה יפה שאני אסביר על על פסק. על פסק מתחבר למחשב והוא בעצם כמו מחשב נייד ארי איך מחשב נייד עובד יש לו סוללה פנימית ברגע שניתק החשמל שאנחנו מנתקים אותו מהחשמל הוא מתחיל לעבוד על סוללה על פסק באותה צורה הוא מתחבר למחשב ומחברים את המחשב אליו זה פשוט מאוד לעשות את זה. ברגע שאתם קונים אתם לא צריכים איזה דוקטורט או טכניי דגול. 
עומר טייכר | מדריך וטכנאי מחשבים: (52:19) : העל פסק הופך להיות סוללה. ובעצם מה זה על פסק? זה סוללה. סוללה ניידת למחשבים. ואז בא לה שיש הפסקת חשמל. או שמשהו לא עובד. ישירות המחשב מתחיל לעבוד על הסוללה של העל פסק כמו מחשב נייד וכמה זמן שיש לה על פסק אם אתם מחברים אליו הרבה מוצרים הוא יעבוד מעט זמן. אם אתם מחברים אליו רק מחשב אחד הוא יעבוד הרבה זמן כמו חשמל ככה החשמל עובד. מקווה שעניתי לך את השאלה אם לא את מוזמנת לשאול אותי בסוף 
עומר טייכר | מדריך וטכנאי מחשבים: (52:52) : הליסט הקווה שאני רוצה לדבר עליו זה NVMe אין הרבה מה להגיד רק שהוא עובד כמו SSD והוא הוא מהיר פי 5 אני חושב אפילו היום בטכנולוגיות החדשות פי 20 מה SSD תחשבו כמה SSD מהיר וזה עובד P20 יותר מהר ממנו מי שעובד על תוכנות עריכה ועושה רינדורים ועושה כל מיני מייצק ווצים ורוצה עבודה וואו תהיל תקנו NVME 
עומר טייכר | מדריך וטכנאי מחשבים: (53:21) : הנושא הבא שאני רוצה לדבר עליו זה לוח M ולמה השארתי אותו בסוף אני אסביר עכשיו. קודם כל מה זה לוח M בכלל למי שלא יודע? לוח M אחראי לחיבור כל הרכיבים במחשב ביחד. מעבד, זיכרון שדיברתי עליו, כרטיסי מסך, דיסקים ועוד. יכולים לראות פה את הלוח, כל הרכיבים מתחברים על החלק הזה. למה, אהה סגרתי את זה, רגע אני אפתח את זה שוב. 
עומר טייכר | מדריך וטכנאי מחשבים: (53:53) : יש לי כפתור שסוגר. 
עומר טייכר | מדריך וטכנאי מחשבים: (53:57) : רגע. 
עומר טייכר | מדריך וטכנאי מחשבים: (54:02) : למה חשוב לדעת את הדגם של לוח ה-M? זה הדגם שלי דרך אגב רגע תתחיל מפה. 
עומר טייכר | מדריך וטכנאי מחשבים: (54:14) : זה הדגם שלי ולמה זה חשוב לדעת את הדגם? קודם כל כשאנחנו כותבים את הדגם בגוגל אנחנו נמצא את כל העתקנים הרלוונטיים השוויים של הלוח ומה זה נותן לנו? שהחלקים במחשב יעבדו מהר יותר. 
עומר טייכר | מדריך וטכנאי מחשבים: (54:31) : הדיסק הקשיח שלנו, כל הארכיבים במחשב שיושבים על הלוח יעבדו מהר יותר ובצורה יציבה יותר כשאנחנו נעדכן את התוכנה של לוח חיים. שוב זה לא כזה טריוויאלי לעשות את זה, אני לא רוצה איך זה נקרא להשלוט אתכם אם אתם לא יודעים ואתם לא טכניים קצת ואתם לא זה תעזרו ביש מקצוע אבל זה מאוד מאוד שווה לעשות את זה מאוד. והדבר השני זה כשאנחנו קונים חלק חדש למחשב 
עומר טייכר | מדריך וטכנאי מחשבים: (55:03) : ולמה אני אומר את זה? לוח האם בעצם מכיל את כל הרכיבים עכשיו, לוח האם יכול להכיל בתוכו רכיבים המסוימים, לא כל מה שאנחנו רוצים לקנות ייכנס ללוח האם. למשל, אנחנו רוצים לקנות לילד או לנכד קרטיס מסה חדש 
עומר טייכר | מדריך וטכנאי מחשבים: (55:22) : מתקדם, צריך לבדוק שהוא נכנס ללוח א-אם, שהוא מתאים ללוח א-אם, שהגודל שלו מתאים לגודל של לוח א-אם, לא כל קרטיס מסה שאנחנו נקנה יתאים ללוח א-אם שלנו. יש כאלה שהם גדולים ולוח א-אם קטן, שהם מיני לוח אם. חבל שאנחנו נבזבט עכשיו אלפיים שקל ואני רואה את זה כל הזמן אנשים שהנכד אומר אימא אני רוצה עכשיו זה כרטיס מסך קונים לו כרטיס מסך עייבורי או קספי ממש לא מעניין אותם, מה אתם קונים מוכרים לכם, אתם מגיעים מביתה עכשיו מה גם העניין, אתם מחברים אותו למחשב זהו אין להחזיר, אור מהכסים נתקן 
עומר טייכר | מדריך וטכנאי מחשבים: (56:02) : מכשיר חשמלי שנכנס לחשמל, אי אפשר להחזיר. 
עומר טייכר | מדריך וטכנאי מחשבים: (56:06) : אתם מחברים אותו למחשב וכותבים אה המחשב 
עומר טייכר | מדריך וטכנאי מחשבים: (56:10) : לא מתאים לא טוב קודם כל לבדוק שהרכיב שאתם קונים מתאים ללוח ולמערז יש גם מערזים מאוד קטנים מערזי מחשב זה הקופסא 
עומר טייכר | מדריך וטכנאי מחשבים: (56:24) : שזה לא מתאים להם הדבר השני זה רם זיכרון רם שאתם קונים עוד זיכרון צריך לבדוק שהטכנולוגיה שלו יש DDR3, DDR4, DDR5, בקרוב DDR6, לבדוק שהוא מתאים ללוח M שלנו. אם הלוח M שלנו הוא ישן ויש עליו רק זיכרון מסוג DDR3 
עומר טייכר | מדריך וטכנאי מחשבים: (56:45) : ואנחנו נקנה DDR4 הוא לא יעבוד חבל לכסף. הכנסנו אותו ללוח, אנחנו לא יכולים להחזיר או אנחנו צריכים לוודא לפני שאנחנו קונים, כשאנחנו קונים 
עומר טייכר | מדריך וטכנאי מחשבים: (56:58) : את הדבר הנכון. 
עומר טייכר | מדריך וטכנאי מחשבים: (57:01) : וNVME, הרבה אנשים רוצים לעבור לNVMe כי זה SSD מאוד מהיר אבל אין להם מקום במחשב זה לא מתאים לכל מחשב זה רק במחשבים החדשים יותר שיש מקום לNVMe לא כל מחשב יכול להכניס לתוכו NVMe להכניס לתוכו NVMe. אתם חייבים לדעת את זה. שוב אני מסביר לכם תיאורטית את הדבר עדיף תתייעצו עם איש מקצוע זה לפני הכל. איך ניתן לדעת? אוקיי אז איך ניתן לדעת של היפגי הראשון אתם רואים את השם 
עומר טייכר | מדריך וטכנאי מחשבים: (57:34) : של הלוחם שלי אתם כותבים אותו בגוגל עושים העתק עדבק אתם יכולים לעשות ככה עתק 
עומר טייכר | מדריך וטכנאי מחשבים: (57:41) : נכנסים אני אעשה לכם את זה יאללה ניתן לכם את זה נכנסים לגוגל עושים עדבק ואתם יכולים לראות להיכנס למשל לאסוס ולראות את כל הנה תראו יש פה tech specification אתם יכולים לראות פה את כל האפשרויות איזה סוג תראו DDR4 איזה סוג אני לא רוצה שרק לדבר אתכם באוויר להראות לכם את זה ממש איזה סוג של זיכרון אני יכול לחבר. איזה כרטיסי מסך אני יכול לחבר. וזה כל עניין של הכרטיסי מסך. 
עומר טייכר | מדריך וטכנאי מחשבים: (58:15) : מה עוד? 
עומר טייכר | מדריך וטכנאי מחשבים: (58:18) : מה עוד יש פה. איזה רכיבים אני יכול לחבר פה ללוח כל מיני הרחבות שאני יכול לחבר ללוח ועוד ועוד ועוד ועוד ועוד 
עומר טייכר | מדריך וטכנאי מחשבים: (58:29) : יש את זה דרך אגב לכל לוח אז תעשו את זה. 
עומר טייכר | מדריך וטכנאי מחשבים: (58:36) : הדבר הרבה שאני רוצה לדבר עליו זה הטמפרטורה שזה לפי דעתי אולי אולי הדבר הכי חשוב פה אחד החשובים פה בעיקר הטמפרטורה של המעבד. 
עומר טייכר | מדריך וטכנאי מחשבים: (58:49) : לא סתם הטמפרטורה, טמפרטורה של המעבד. ועכשיו אני אסביר לכם כמה טיפים שמאוד מאוד יעזרו לכם. הטיפ הראשון, קודם כל פותחים את המחשב. לפתוח את המחשב. הרבה שאומרים לי אני פותח, פוחה לפתוח את המחשב. לפתוח את המחשב זה לא פחד מאוד גדול. שום דבר לא יקפוץ עליכם מהמחשב, הוא לא יהרוג אתכם. 
עומר טייכר | מדריך וטכנאי מחשבים: (59:15) : מהחלק שיש בו פתחי העברור כאלה. זה החלק שאתם פותחים את המחשב זה החלק שיראה לכם את לוח האם ותוכלו לנקות שם את האבק בעצם אנחנו מדברים פה על ניקוי אבק. רגע כמה דקה לפני שאני נכנס לאיך פותחים את המחשב אני רוצה להסביר לכם מה עושה טמפרטורה גבוהה למחשב טמפרטורה גבוהה זה מתי שאתם רואים שהצהוב הזה מתחיל להיות כתום או אדום זה הטמפרטורה של המאבד היא גבוהה אם אתם רואים במיוחד שהיא לאורך כמה שניות 
עומר טייכר | מדריך וטכנאי מחשבים: (59:52) : מנתקים מחשמה לפני הפתיחה יפה מאוד זו יפה מאוד אהבתי את הזה שלך נכון מנתקים לפני הפתיחה נכון 
עומר טייכר | מדריך וטכנאי מחשבים: (1:00:02) : אז עכשיו קודם כל טמפרטורה גבוהה מקצרת את חיי הסוללה במחשב נייד היא מעטה את המחשב בכלל גם בנייד וגם בנייח ואחד מהתסמינים של טמפרטורה גבוהה 
עומר טייכר | מדריך וטכנאי מחשבים: (1:00:17) : המחשב פתאום נכבה. הרבה אנשים אומרים לי עומר המחשב שלנו פתאום באמצע העבודה נכבה למה כי למחשב יש מין בקרת טמפרטורה שהוא מגיע לטמרטורה שהוא לא יכול לעמוד בה יותר הוא מכבד את עצמו אין אפס הוא לא פרייר המחשב 
עומר טייכר | מדריך וטכנאי מחשבים: (1:00:37) : ואתם צריכים לדעת שבעוד שהוא מכבד את עצמו פתאום סיכוי גדול שהטמפרטורה שלכם גבוהה ואני רואה מחשבים עם כמויות אבק שלא תדעו בכל מקרה אתם פותחים את המחשב מהחלק עם החורים נכון מתקים את החשמה לפני 
עומר טייכר | מדריך וטכנאי מחשבים: (1:00:52) : רגע אני עכשיו שניה 
עומר טייכר | מדריך וטכנאי מחשבים: (1:00:54) : ושניה שניה שניה אני כבר מרד גיאלשון 
עומר טייכר | מדריך וטכנאי מחשבים: (1:00:59) : פתחתם את המחשב עכשיו בעצם 
עומר טייכר | מדריך וטכנאי מחשבים: (1:01:02) : מה איפה רואים? עכשיו אני יתקב ואראה לכם לא, אני לא אפתח את המחשב בליו ואני אראה לכם איך עושים את זה, תסתכלו 
עומר טייכר | מדריך וטכנאי מחשבים: (1:01:11) : זה נקרא גוף הכירור של המעבד אתם רואים? זה המעבד שלכם מתחת לגוף הקירור יושב המעבד ומעליו יושב המעברר לא צריך לראות את זה בתמונה, זה לא מעניין רק תדעו שמעל יושב המעברר מתחת יושב המאבד. מה קורה כשיש לנו אבק במחשב? תסתכלו על התמונה. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:01:32) : רחלי בתוכנה ספסי שהתקנתי אותה אם אתם רוצים לדעת אחרי זה איך מתקינים על שטח קישור, רואים את הטמפרטורה פה, תגידי לי שאת רואה את הטמפרטורה, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:01:44) : שמתי אותה בסכוכית מגדלת, זאת הטמפרטורה. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:01:48) : אז זה גוף הכירור שלנו כשנצבר בו אבק תסתכלו מה קורה פתחי 
עומר טייכר | מדריך וטכנאי מחשבים: (1:01:54) : הפתחים נסתמים והאוויר שאמור להיכנס לתוך המאבד נסתם לא נכנס אוויר ולכן המאבד מתחמם המאבד שלנו צריך אוויר אז איך אנחנו הופכים את המצב מזה לזה קודם כל 
עומר טייכר | מדריך וטכנאי מחשבים: (1:02:13) : אתם רואים יש לי מברשת קטנה אתם יכולים להשתמש גם במקרול או במברשת קטנה זה של מכונת הספורט שמנקים את המכונת הספורט. בוא נראה אתם רואים את זה תרשמו לי כן אם אתם רואים 
עומר טייכר | מדריך וטכנאי מחשבים: (1:02:27) : את הדבר הזה 
עומר טייכר | מדריך וטכנאי מחשבים: (1:02:31) : תרשמו יפה אתם מנקים עם 
עומר טייכר | מדריך וטכנאי מחשבים: (1:02:37) : המברשת הזאת בין הפתחים של הגוף כירור אני מדגיש לא צריך לפתוח את שנייה לא צריך לפתוח את שנייה לא צריך רגע אני תכף אברר לכם רגע לא צריכים שוב שואב אבק לא צריך שוב שואב אבק אתם אתם מנקים בפתחי העברור עם 
עומר טייכר | מדריך וטכנאי מחשבים: (1:03:00) : הדבר הזה אתם לא צריכים לפתוח את המאוורר לפני מספיק לנקוט בחריצים 
עומר טייכר | מדריך וטכנאי מחשבים: (1:03:07) : אם אתם אם אתם תנשפו אם אתם תקחו פן 
עומר טייכר | מדריך וטכנאי מחשבים: (1:03:11) : ותנשפו על הגוף כירור בלי לנקוט את חריצים לא יצא אבק אתם חייבים לנקות את החריצים דבר שני לוקחים את הפן שלנו נשים פחות יאהבו את זה לי יש פן יש נשים שעובדים עם הפוח לי יש פן מפעילים אותו על הקירור 
עומר טייכר | מדריך וטכנאי מחשבים: (1:03:31) : ומנקים את פנים המחשב לא צריך להסתבך יותר מדי שוב זה לא תורה מסיניו נכון בין הצלעות נכון בין הצלעות ובתוך המחשב יש את המעבר של ספק הכוח שצריך לנקות 
עומר טייכר | מדריך וטכנאי מחשבים: (1:03:45) : יש אבק על הרכיבים של הקרטיס הגרפי יש כל מיני אבק על כל מיני רכיבים כדי לנקות את כולם לאחר שנקיתם בין החריצים 
עומר טייכר | מדריך וטכנאי מחשבים: (1:03:56) : אתם יכולים לנקות אפילו להכניס את המקרול את המברשת לתוך המעברר קצת להתחיל לנקות זה מאוד פשוט לא סיפור גדול 
עומר טייכר | מדריך וטכנאי מחשבים: (1:04:09) : ועם הפן על הגוף הקירור 
עומר טייכר | מדריך וטכנאי מחשבים: (1:04:12) : זה יוציא את כל האבק מגוף הקירור אתם תראו שהמחשב שלכם 
עומר טייכר | מדריך וטכנאי מחשבים: (1:04:18) : עושה פלאים למחשב ואני רואה מחשבים 
עומר טייכר | מדריך וטכנאי מחשבים: (1:04:21) : עכשיו מה שקרה אחרי שאתם תנקו אותו מאבק עם פן שוב לא בטוח שאנשים שלכם יאהבו את זה אתם יכולים לקנות פן יהודי מאחורה יהיה לכם אבק יישאר אבק בחלק האחורי של הפן אפשר לנקות אותו לא סיפור גדול 
עומר טייכר | מדריך וטכנאי מחשבים: (1:04:41) : אז סיימנו את החלק האמנותי רגע אני אתן כזה מהחשמל, אל איך מנקים את המחשב 
עומר טייכר | מדריך וטכנאי מחשבים: (1:04:48) : בוא נראה אם יש עוד משהו לא סיימנו את החלק של ספייסי עכשיו אני רוצה לתת לכם כמה טיפים 
עומר טייכר | מדריך וטכנאי מחשבים: (1:04:57) : האם המפגש כן אבל זה ייקח לי כמה ימים יום יומיים להעלות אותו כי יש פה כל מיני תמונות שהכרחתי מגוגל ואני צריך לטשטש אותם 
עומר טייכר | מדריך וטכנאי מחשבים: (1:05:07) : עכשיו אני רוצה לדעת לכם שלושה טיפים לחיסכון בחשמל 
עומר טייכר | מדריך וטכנאי מחשבים: (1:05:13) : בפן 
עומר טייכר | מדריך וטכנאי מחשבים: (1:05:15) : כי שואב אבק יש לו אני לא יודע להגיד לך בוודאות יש איזה הסבר לזה אני לא ממש יודע להגיד לך בשלוף, אבל לא משתמשים בשואב אבק בדיל לנקעו, אני חושב ששואב אבק הוא קולה את האבק בתוך המחשב, הוא גם לא שואב בצורה יעילה את האבק מתוך גוף הכרור 
עומר טייכר | מדריך וטכנאי מחשבים: (1:05:45) : מי שעובד לו עם שואב אבק שישתמש בשואב אבק. גם שואב אבק 
עומר טייכר | מדריך וטכנאי מחשבים: (1:05:51) : יכול גם למשוך את הרכיבים לתוכו ויש כל מיני רכיבים מעודדינים כל מיני כך. לא יודע מי שעובד לו עם שואב אבק ורוצה עם שואב אבק אני לא נגד. העיקר שהמחשב שלכם יהיה נקי. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:06:04) : יש כל מיני דברים. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:06:07) : בסדר בסדר גרשון תשתמשו על הקירור ולא על החימום בפן כי אתם לא רוצים גם לסרוף את הרכיבים שלכם במחשב כמו שאמרתי הם לא אוהבים חוב רק קירור אוקיי רק על הקטע הזה של הקירור עכשיו נותן לכם שלושה טיפים לחיסכון בחשמל למחשבים נעדים לא עלהה אותכם במיליון ואחת טיפים יש אין סוף טיפים לחסוך בחשמה לא כולם יעילים אני נותן לכם שלושה טיפים שהם הכי יעילים שימוש במצב חיסכון באנרגיה אני אראה לכם איך זה נראה 
עומר טייכר | מדריך וטכנאי מחשבים: (1:06:42) : רגע 
עומר טייכר | מדריך וטכנאי מחשבים: (1:06:44) : רגע 
עומר טייכר | מדריך וטכנאי מחשבים: (1:06:45) : קודם כל שימוש במצב חיסכון באנרגיה איך אתם עושים את זה אתם לוחצים על האזור הזה למטה של הרמקול ושל החיבור אינטרנט ואתם תראו פה, אצלי זה מחשב ניהד, אצלי זה מחשב ניח, סליחה, אז לא רואים את השליטה 
עומר טייכר | מדריך וטכנאי מחשבים: (1:07:07) : על התאורה אבל אתם במחשבים ניהדים כן תראו את זה מה שכן יש לי זה כפתור חיסכון באנרגיה אתם בטח אומרים לא צריכם בסדר אבל המחשב שלי עובר אוטומטי לחיסכון באנרגיה למה שאני צריך ללחוץ על חיסכון באנרגיה אז לא המחשב עובר לחיסכון באנרגיה רק שהוא מגיע לסוללה של 20% או 30% או 15% ומטה אם אתם בפגישה ורוצים לחסוך באמת בסוללה, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:07:36) : אתם צריכים ללחוץ על חיסכון באנרגיה מהרגע שאתם מתחילים לעבוד על המחשב, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:07:43) : ולא רק שהוא מגיע לקצה שלו. מה זה עושה בעצם חיסכון באנרגיה? זה מגביל את המהירות של המאבד, ככה זה מוריד את הצריכת חשמל 
עומר טייכר | מדריך וטכנאי מחשבים: (1:07:54) : ומוריד את רמת התאורה. עכשיו טיפ נוסף, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:07:58) : אתם תראו במחשבים נעדים שיש לכם בקרת תאורה של עוצמה, תורידו את התאורה למינימום שאתם צריכים לעבוד איתה. המסך שלכם במחשב הנהד הוא צרכן חשמל מטורף. אפילו אני חושב יותר משאר הרכיבים במחשב. המסך. אתם יכולים לראות את זה כדוגמה בטלפון שלכם. שהמחשב שלכם, שהטלפון שלכם פועל, הוא גוזר את הסוללה שהוא קבוי בלילה למשל, שהמסך קבוי כמעט לא נגמר את הסוללה. המסך שואב את הסוללה שלנו. אותו דבר במחשב ליד. ככל שאנחנו נוריד את העוצמה של התאורה למינימום של המינימום שאנחנו יכולים לראות בה הסוללה תתשאר לנו לאורך זמן 
עומר טייכר | מדריך וטכנאי מחשבים: (1:08:48) : אז כמו שכתבתי שימוש במצב חיסכון לסוללה 
עומר טייכר | מדריך וטכנאי מחשבים: (1:08:53) : והפחתת בהירות המסך כמה שאפשר והפסקת תוכנות זוללות משאבים ואני אראה לכם עכשיו איך עושים את זה הרבה אנשים נכנסו לפה כדי לדעת את החלק הזה ואני אראה לכם את הדבר הבא. אז עכשיו אני אעבור לטיפים וטריקים כלליים בווינדוס לא עליה אתכם בהרבה טיפים רק את המרכזים ואת החשובים ביניהם. אוקיי. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:09:17) : אני אצא מזה. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:09:20) : אז הטיפ הראשון שאני רוצה להראות לכם, אני אראה אותו בדוגמה שאני מראה אותו כבר כאיזה שבוע, אבל אני אראה אותה שוב. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:09:29) : דמיינו את המחשב שלכם כמו חניון. אתם רואים את המכונית שתקוע פה בכניסה לחניון? היא תוקעת את כל המכוניות שאחריה בכניסה לחניון ולא נותנת להם להיכנס. היא יוצרת פקק. אותו דבר במחשב, אני אראה לכם עכשיו איך אפליקציה אחת יכולה לתקוע את כל המחשב שלכם 
עומר טייכר | מדריך וטכנאי מחשבים: (1:09:55) : ולגרום לו לעבוד יותר לאט ואיך אפשר לשחרר אפליקציות בקלות ולהפוך את המחשב לעבוד בצורה חלקה יותר אז איך עושים את זה 
עומר טייכר | מדריך וטכנאי מחשבים: (1:10:07) : במחשב שלנו יש את מנהל המשימות 
עומר טייכר | מדריך וטכנאי מחשבים: (1:10:13) : זה מנהל המשימות אני אגידי לו אותו אני אראה לכם גם זה הוא מנהל המשימות של וינדוס 11 אני אראה לכם איך הוא נראה בוונדואס 10 
עומר טייכר | מדריך וטכנאי מחשבים: (1:10:25) : בוונדואס 10 הוא נראה ככה אני אראה לכם את העלודי אלו 
עומר טייכר | מדריך וטכנאי מחשבים: (1:10:30) : רגע נראה רגע רגע, שנייה בוא נראה, אני אקטין את זה 
עומר טייכר | מדריך וטכנאי מחשבים: (1:10:38) : בוא נראה רגע 
עומר טייכר | מדריך וטכנאי מחשבים: (1:10:41) : צריכים פה כל מיני, תראו בווינדוס 11 כל הדברים יושבים בצד 
עומר טייכר | מדריך וטכנאי מחשבים: (1:10:48) : תראו ביצועים, היסטוריית אפליקציות, אפליקציות תתחול ובווינדוס 10 זה יושב למעלה. תהליכים, ביצועים, היסטוריית אפליקציות מאוד דומה. ממש דומה, פשוט למעלה. שוב תשדרגו. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:11:03) : הדבר הרבה שאני רוצה להסביר לכם זה ברשת נמצאים מול מנהלי המשימות אין מה לפחד מהדבר הזה כן אנשים אומרים לי אחד מהדברים שאני שומע הרבה סגרתי אפליקציה המחשב שלי נהרס הסרתי משהו המחשב של המחשב לא נהרס כזה בקלות תפתחו את מדעי למשימות גם אם תעשו פה איזה משהו תפעילו את המחשב מחדש הוא יעבוד אותו דבר אתם לא עושים כל כך מהירים לכם מה לדאוג עכשיו איך אתם יודעים איזה אפליקציה סותמת לכם ותוקע אני אראה את זה שוב כפתור ימני על שורת המשימות למטה אתם רואים שורת המשימות למטה כפתור ימני 
עומר טייכר | מדריך וטכנאי מחשבים: (1:11:49) : ומנהל 
עומר טייכר | מדריך וטכנאי מחשבים: (1:11:50) : המשימות 
עומר טייכר | מדריך וטכנאי מחשבים: (1:11:54) : אוקיי 
עומר טייכר | מדריך וטכנאי מחשבים: (1:11:56) : אתם נמצאים בקרטיסיית תהליכים אוקיי חשוב הקרטיסייה קרטיסיית תהליכים ופה אתם תוכלו לראות את רשימת האפליקציות שפתוחות לכם במחשב יש קל שפתוחות במחשב ואתם אפילו לא יודעים שהן פתוחות במחשב דרך אגב. הן לא פתוחה לא כל דבר שפתוח במחשב פתוח לכם למטה בשורת המשימות. או אתם רואים אותו ממש לא ממש לא יש דברים שפתוחים והם סמויים והם נסתרים 
עומר טייכר | מדריך וטכנאי מחשבים: (1:12:25) : עכשיו אתם יכולים לראות כל אפליקציה 
עומר טייכר | מדריך וטכנאי מחשבים: (1:12:30) : כמה מהבד התופסת כמה אחוז התופסת מהמהבד כמה אחוז התופסת מהזיכרון וכמה אחוז התופסת מהדיסק את הרשת זה לא מעניין 
עומר טייכר | מדריך וטכנאי מחשבים: (1:12:42) : אני אלא אם יש לכם איזה סוס טרויאני או יש לכם איזה וירוס ששואב לכם את הרשת מי שיש לו אנטיבירוס איכותי זה לא יקרה אני לא הייתי מתמקד בנושא הזה של הרשת זה לא מעניין זה גם לא מת את המחשב אז אני הייתי מתמקד בדיסק, בזיכרון ובמעבד 
עומר טייכר | מדריך וטכנאי מחשבים: (1:13:02) : לפעמים אתם תראו אפליקציה שוב לי אין את הבעיה הזאת כרגע אז אני לא יכול להראות לכם את הבעיה בזמן אמת אבל לפעמים אתם תראו אפליקציות ששואבות לכם לפעמים 
עומר טייכר | מדריך וטכנאי מחשבים: (1:13:15) : 100% מהמאבד או 80-90% מהזיכרון 
עומר טייכר | מדריך וטכנאי מחשבים: (1:13:21) : או 100% או 80-90% מהדיסק עכשיו 
עומר טייכר | מדריך וטכנאי מחשבים: (1:13:26) : חשוב חשוב חשוב לשים לב 
עומר טייכר | מדריך וטכנאי מחשבים: (1:13:30) : אני לא מדבר על משהו רגעי שהוא שהוא 10 שניות תופס לי 
עומר טייכר | מדריך וטכנאי מחשבים: (1:13:36) : CPU 100% לא מדבר על דברים כאלה. נגיד אתם תראו שדקה שלמה האפליקציה הזאת תופסת לכם את המעבד, תופסת לכם את הזיכרון זה לא אמור להיות זה לא אמור להיות אלא אם למשל יש לכם עדכוני מערכת שהם שואבים את המערכת אבל הם גם זמניים 
עומר טייכר | מדריך וטכנאי מחשבים: (1:13:57) : אתם תוכלו לראות פה שכתוב עדכוני מערכת דרך אגב windows update אתם תראו את זה אבל אם אתם רואים אפליקציה למשל סתם Google, לgoogle chrome זה לא יקרה אבל כל אחד יש לו אפליקציות חינמיות או שהוא מתקין ואתם רואים שהיא שואבת לכם את המערכת לאורך זמן תדעו שהמערכת הזאת, שהתוכנה הזאת מעטה לכם את המחשב ושואבת לכם את כל 
